series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	pc	pc_tissue_control	or	pc_control	sample_class
13217	1787	518050	GSM1534810	GPL19370	GSE62872	pc				1
13217	1787	518053	GSM1534811	GPL19370	GSE62872	pc				1
13217	1787	518056	GSM1534812	GPL19370	GSE62872	pc				1
13217	1787	518059	GSM1534813	GPL19370	GSE62872	pc				1
13217	1787	518061	GSM1534814	GPL19370	GSE62872	pc				1
13217	1787	518063	GSM1534815	GPL19370	GSE62872	pc				1
13217	1787	518068	GSM1534816	GPL19370	GSE62872	pc				1
13217	1787	518069	GSM1534817	GPL19370	GSE62872	pc				1
13217	1787	518073	GSM1534818	GPL19370	GSE62872	pc				1
13217	1787	518076	GSM1534819	GPL19370	GSE62872	pc				1
13217	1787	518079	GSM1534820	GPL19370	GSE62872	pc				1
13217	1787	518081	GSM1534821	GPL19370	GSE62872	pc				1
13217	1787	518085	GSM1534822	GPL19370	GSE62872	pc				1
13217	1787	518087	GSM1534823	GPL19370	GSE62872	pc				1
13217	1787	518089	GSM1534824	GPL19370	GSE62872	pc				1
13217	1787	518091	GSM1534825	GPL19370	GSE62872	pc				1
13217	1787	518093	GSM1534826	GPL19370	GSE62872	pc				1
13217	1787	518095	GSM1534827	GPL19370	GSE62872	pc				1
13217	1787	518096	GSM1534828	GPL19370	GSE62872	pc				1
13217	1787	518099	GSM1534829	GPL19370	GSE62872	pc				1
13217	1787	518101	GSM1534830	GPL19370	GSE62872	pc				1
13217	1787	518103	GSM1534831	GPL19370	GSE62872	pc				1
13217	1787	518104	GSM1534832	GPL19370	GSE62872	pc				1
13217	1787	518106	GSM1534833	GPL19370	GSE62872	pc				1
13217	1787	518108	GSM1534834	GPL19370	GSE62872	pc				1
13217	1787	518110	GSM1534835	GPL19370	GSE62872	pc				1
13217	1787	518113	GSM1534836	GPL19370	GSE62872	pc				1
13217	1787	518114	GSM1534837	GPL19370	GSE62872	pc				1
13217	1787	518116	GSM1534838	GPL19370	GSE62872	pc				1
13217	1787	518119	GSM1534839	GPL19370	GSE62872	pc				1
13217	1787	518121	GSM1534840	GPL19370	GSE62872	pc				1
13217	1787	518123	GSM1534841	GPL19370	GSE62872	pc				1
13217	1787	518127	GSM1534842	GPL19370	GSE62872	pc				1
13217	1787	518130	GSM1534843	GPL19370	GSE62872	pc				1
13217	1787	518132	GSM1534844	GPL19370	GSE62872	pc				1
13217	1787	518135	GSM1534845	GPL19370	GSE62872	pc				1
13217	1787	518138	GSM1534846	GPL19370	GSE62872	pc				1
13217	1787	518141	GSM1534847	GPL19370	GSE62872	pc				1
13217	1787	518144	GSM1534848	GPL19370	GSE62872	pc				1
13217	1787	518148	GSM1534849	GPL19370	GSE62872	pc				1
13217	1787	518150	GSM1534850	GPL19370	GSE62872	pc				1
13217	1787	518152	GSM1534851	GPL19370	GSE62872	pc				1
13217	1787	518153	GSM1534852	GPL19370	GSE62872	pc				1
13217	1787	518155	GSM1534853	GPL19370	GSE62872	pc				1
13217	1787	518156	GSM1534854	GPL19370	GSE62872	pc				1
13217	1787	518157	GSM1534855	GPL19370	GSE62872	pc				1
13217	1787	518159	GSM1534856	GPL19370	GSE62872	pc				1
13217	1787	518161	GSM1534857	GPL19370	GSE62872	pc				1
13217	1787	518163	GSM1534858	GPL19370	GSE62872	pc				1
13217	1787	518165	GSM1534859	GPL19370	GSE62872	pc				1
13217	1787	518167	GSM1534860	GPL19370	GSE62872	pc				1
13217	1787	518168	GSM1534861	GPL19370	GSE62872	pc				1
13217	1787	518170	GSM1534862	GPL19370	GSE62872	pc				1
13217	1787	518173	GSM1534863	GPL19370	GSE62872	pc				1
13217	1787	518180	GSM1534864	GPL19370	GSE62872	pc				1
13217	1787	518181	GSM1534865	GPL19370	GSE62872	pc				1
13217	1787	518185	GSM1534866	GPL19370	GSE62872	pc				1
13217	1787	518189	GSM1534867	GPL19370	GSE62872	pc				1
13217	1787	518193	GSM1534868	GPL19370	GSE62872	pc				1
13217	1787	518196	GSM1534869	GPL19370	GSE62872	pc				1
13217	1787	518199	GSM1534870	GPL19370	GSE62872	pc				1
13217	1787	518202	GSM1534871	GPL19370	GSE62872	pc				1
13217	1787	518205	GSM1534872	GPL19370	GSE62872	pc				1
13217	1787	518208	GSM1534873	GPL19370	GSE62872	pc				1
13217	1787	518210	GSM1534874	GPL19370	GSE62872	pc				1
13217	1787	518213	GSM1534875	GPL19370	GSE62872	pc				1
13217	1787	518217	GSM1534876	GPL19370	GSE62872	pc				1
13217	1787	518220	GSM1534877	GPL19370	GSE62872	pc				1
13217	1787	518222	GSM1534878	GPL19370	GSE62872	pc				1
13217	1787	518226	GSM1534879	GPL19370	GSE62872	pc				1
13217	1787	518230	GSM1534880	GPL19370	GSE62872	pc				1
13217	1787	518234	GSM1534881	GPL19370	GSE62872	pc				1
13217	1787	518240	GSM1534882	GPL19370	GSE62872	pc				1
13217	1787	518243	GSM1534883	GPL19370	GSE62872	pc				1
13217	1787	518245	GSM1534884	GPL19370	GSE62872	pc				1
13217	1787	518250	GSM1534885	GPL19370	GSE62872	pc				1
13217	1787	518256	GSM1534886	GPL19370	GSE62872	pc				1
13217	1787	518261	GSM1534887	GPL19370	GSE62872	pc				1
13217	1787	518266	GSM1534888	GPL19370	GSE62872	pc				1
13217	1787	518270	GSM1534889	GPL19370	GSE62872	pc				1
13217	1787	518274	GSM1534890	GPL19370	GSE62872	pc				1
13217	1787	518278	GSM1534891	GPL19370	GSE62872	pc				1
13217	1787	518282	GSM1534892	GPL19370	GSE62872	pc				1
13217	1787	518286	GSM1534893	GPL19370	GSE62872	pc				1
13217	1787	518289	GSM1534894	GPL19370	GSE62872	pc				1
13217	1787	518292	GSM1534895	GPL19370	GSE62872	pc				1
13217	1787	518293	GSM1534896	GPL19370	GSE62872	pc				1
13217	1787	518296	GSM1534897	GPL19370	GSE62872	pc				1
13217	1787	518298	GSM1534898	GPL19370	GSE62872	pc				1
13217	1787	518301	GSM1534899	GPL19370	GSE62872	pc				1
13217	1787	518303	GSM1534900	GPL19370	GSE62872	pc				1
13217	1787	518305	GSM1534901	GPL19370	GSE62872	pc				1
13217	1787	518309	GSM1534902	GPL19370	GSE62872	pc				1
13217	1787	518315	GSM1534903	GPL19370	GSE62872	pc				1
13217	1787	518320	GSM1534904	GPL19370	GSE62872	pc				1
13217	1787	518328	GSM1534905	GPL19370	GSE62872	pc				1
13217	1787	518332	GSM1534906	GPL19370	GSE62872	pc				1
13217	1787	518337	GSM1534907	GPL19370	GSE62872	pc				1
13217	1787	518340	GSM1534908	GPL19370	GSE62872	pc				1
13217	1787	518348	GSM1534909	GPL19370	GSE62872	pc				1
13217	1787	518358	GSM1534910	GPL19370	GSE62872	pc				1
13217	1787	518362	GSM1534911	GPL19370	GSE62872	pc				1
13217	1787	518369	GSM1534912	GPL19370	GSE62872	pc				1
13217	1787	518374	GSM1534913	GPL19370	GSE62872	pc				1
13217	1787	518381	GSM1534914	GPL19370	GSE62872	pc				1
13217	1787	518392	GSM1534915	GPL19370	GSE62872	pc				1
13217	1787	518401	GSM1534916	GPL19370	GSE62872	pc				1
13217	1787	518409	GSM1534917	GPL19370	GSE62872	pc				1
13217	1787	518414	GSM1534918	GPL19370	GSE62872	pc				1
13217	1787	518423	GSM1534919	GPL19370	GSE62872	pc				1
13217	1787	518428	GSM1534920	GPL19370	GSE62872	pc				1
13217	1787	518432	GSM1534921	GPL19370	GSE62872	pc				1
13217	1787	518438	GSM1534922	GPL19370	GSE62872	pc				1
13217	1787	518445	GSM1534923	GPL19370	GSE62872	pc				1
13217	1787	518451	GSM1534924	GPL19370	GSE62872	pc				1
13217	1787	518456	GSM1534925	GPL19370	GSE62872	pc				1
13217	1787	518461	GSM1534926	GPL19370	GSE62872	pc				1
13217	1787	518468	GSM1534927	GPL19370	GSE62872	pc				1
13217	1787	518475	GSM1534928	GPL19370	GSE62872	pc				1
13217	1787	518478	GSM1534929	GPL19370	GSE62872	pc				1
13217	1787	518485	GSM1534930	GPL19370	GSE62872	pc				1
13217	1787	518492	GSM1534931	GPL19370	GSE62872	pc				1
13217	1787	518499	GSM1534932	GPL19370	GSE62872	pc				1
13217	1787	518503	GSM1534933	GPL19370	GSE62872	pc				1
13217	1787	518508	GSM1534934	GPL19370	GSE62872	pc				1
13217	1787	518514	GSM1534935	GPL19370	GSE62872	pc				1
13217	1787	518517	GSM1534936	GPL19370	GSE62872	pc				1
13217	1787	518522	GSM1534937	GPL19370	GSE62872	pc				1
13217	1787	518531	GSM1534938	GPL19370	GSE62872	pc				1
13217	1787	518535	GSM1534939	GPL19370	GSE62872	pc				1
13217	1787	518542	GSM1534940	GPL19370	GSE62872	pc				1
13217	1787	518545	GSM1534941	GPL19370	GSE62872	pc				1
13217	1787	518551	GSM1534942	GPL19370	GSE62872	pc				1
13217	1787	518559	GSM1534943	GPL19370	GSE62872	pc				1
13217	1787	518568	GSM1534944	GPL19370	GSE62872	pc				1
13217	1787	518576	GSM1534945	GPL19370	GSE62872	pc				1
13217	1787	518584	GSM1534946	GPL19370	GSE62872	pc				1
13217	1787	518593	GSM1534947	GPL19370	GSE62872	pc				1
13217	1787	518602	GSM1534948	GPL19370	GSE62872	pc				1
13217	1787	518611	GSM1534949	GPL19370	GSE62872	pc				1
13217	1787	518613	GSM1534950	GPL19370	GSE62872	pc				1
13217	1787	518624	GSM1534951	GPL19370	GSE62872	pc				1
13217	1787	518632	GSM1534952	GPL19370	GSE62872	pc				1
13217	1787	518639	GSM1534953	GPL19370	GSE62872	pc				1
13217	1787	518645	GSM1534954	GPL19370	GSE62872	pc				1
13217	1787	518653	GSM1534955	GPL19370	GSE62872	pc				1
13217	1787	518668	GSM1534956	GPL19370	GSE62872	pc				1
13217	1787	518676	GSM1534957	GPL19370	GSE62872	pc				1
13217	1787	518678	GSM1534958	GPL19370	GSE62872	pc				1
13217	1787	518689	GSM1534959	GPL19370	GSE62872	pc				1
13217	1787	518695	GSM1534960	GPL19370	GSE62872	pc				1
13217	1787	518699	GSM1534961	GPL19370	GSE62872	pc				1
13217	1787	518706	GSM1534962	GPL19370	GSE62872	pc				1
13217	1787	518714	GSM1534963	GPL19370	GSE62872	pc				1
13217	1787	518723	GSM1534964	GPL19370	GSE62872	pc				1
13217	1787	518734	GSM1534965	GPL19370	GSE62872	pc				1
13217	1787	518749	GSM1534966	GPL19370	GSE62872	pc				1
13217	1787	518763	GSM1534967	GPL19370	GSE62872	pc				1
13217	1787	518776	GSM1534968	GPL19370	GSE62872	pc				1
