series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	ad_control	ad	sample_class
5836	297	235956	GSM1423920	GPL4372	GSE33000		ad	1
5836	297	235957	GSM1423921	GPL4372	GSE33000		ad	1
5836	297	235958	GSM1423922	GPL4372	GSE33000		ad	1
5836	297	235959	GSM1423923	GPL4372	GSE33000		ad	1
5836	297	235960	GSM1423924	GPL4372	GSE33000		ad	1
5836	297	235961	GSM1423925	GPL4372	GSE33000		ad	1
5836	297	235962	GSM1423926	GPL4372	GSE33000		ad	1
5836	297	235963	GSM1423927	GPL4372	GSE33000		ad	1
5836	297	235964	GSM1423928	GPL4372	GSE33000		ad	1
5836	297	235965	GSM1423929	GPL4372	GSE33000		ad	1
5836	297	235966	GSM1423930	GPL4372	GSE33000		ad	1
5836	297	235967	GSM1423931	GPL4372	GSE33000		ad	1
5836	297	235968	GSM1423932	GPL4372	GSE33000		ad	1
5836	297	235969	GSM1423933	GPL4372	GSE33000		ad	1
5836	297	235970	GSM1423934	GPL4372	GSE33000		ad	1
5836	297	235971	GSM1423935	GPL4372	GSE33000		ad	1
5836	297	235972	GSM1423936	GPL4372	GSE33000		ad	1
5836	297	235973	GSM1423937	GPL4372	GSE33000		ad	1
5836	297	235974	GSM1423938	GPL4372	GSE33000		ad	1
5836	297	235975	GSM1423939	GPL4372	GSE33000		ad	1
5836	297	235976	GSM1423940	GPL4372	GSE33000		ad	1
5836	297	235977	GSM1423941	GPL4372	GSE33000		ad	1
5836	297	235978	GSM1423942	GPL4372	GSE33000		ad	1
5836	297	235979	GSM1423943	GPL4372	GSE33000		ad	1
5836	297	235980	GSM1423944	GPL4372	GSE33000		ad	1
5836	297	235981	GSM1423945	GPL4372	GSE33000		ad	1
5836	297	235982	GSM1423946	GPL4372	GSE33000		ad	1
5836	297	235983	GSM1423947	GPL4372	GSE33000		ad	1
5836	297	235984	GSM1423948	GPL4372	GSE33000		ad	1
5836	297	235985	GSM1423949	GPL4372	GSE33000		ad	1
5836	297	235986	GSM1423950	GPL4372	GSE33000		ad	1
5836	297	235987	GSM1423951	GPL4372	GSE33000		ad	1
5836	297	235988	GSM1423952	GPL4372	GSE33000		ad	1
5836	297	235989	GSM1423953	GPL4372	GSE33000		ad	1
5836	297	235990	GSM1423954	GPL4372	GSE33000		ad	1
5836	297	235991	GSM1423955	GPL4372	GSE33000		ad	1
5836	297	235992	GSM1423956	GPL4372	GSE33000		ad	1
5836	297	235993	GSM1423957	GPL4372	GSE33000		ad	1
5836	297	235994	GSM1423958	GPL4372	GSE33000		ad	1
5836	297	235995	GSM1423959	GPL4372	GSE33000		ad	1
5836	297	235996	GSM1423960	GPL4372	GSE33000		ad	1
5836	297	235997	GSM1423961	GPL4372	GSE33000		ad	1
5836	297	235998	GSM1423962	GPL4372	GSE33000		ad	1
5836	297	235999	GSM1423963	GPL4372	GSE33000		ad	1
5836	297	236000	GSM1423964	GPL4372	GSE33000		ad	1
5836	297	236001	GSM1423965	GPL4372	GSE33000		ad	1
5836	297	236002	GSM1423966	GPL4372	GSE33000		ad	1
5836	297	236003	GSM1423967	GPL4372	GSE33000		ad	1
5836	297	236004	GSM1423968	GPL4372	GSE33000		ad	1
5836	297	236005	GSM1423969	GPL4372	GSE33000		ad	1
5836	297	236006	GSM1423970	GPL4372	GSE33000		ad	1
5836	297	236007	GSM1423971	GPL4372	GSE33000		ad	1
5836	297	236008	GSM1423972	GPL4372	GSE33000		ad	1
5836	297	236009	GSM1423973	GPL4372	GSE33000		ad	1
5836	297	236010	GSM1423974	GPL4372	GSE33000		ad	1
5836	297	236011	GSM1423975	GPL4372	GSE33000		ad	1
5836	297	236012	GSM1423976	GPL4372	GSE33000		ad	1
5836	297	236013	GSM1423977	GPL4372	GSE33000		ad	1
5836	297	236014	GSM1423978	GPL4372	GSE33000		ad	1
5836	297	236015	GSM1423979	GPL4372	GSE33000		ad	1
5836	297	236016	GSM1423980	GPL4372	GSE33000		ad	1
5836	297	236017	GSM1423981	GPL4372	GSE33000		ad	1
5836	297	236018	GSM1423982	GPL4372	GSE33000		ad	1
5836	297	236019	GSM1423983	GPL4372	GSE33000		ad	1
5836	297	236020	GSM1423984	GPL4372	GSE33000		ad	1
5836	297	236021	GSM1423985	GPL4372	GSE33000		ad	1
5836	297	236022	GSM1423986	GPL4372	GSE33000		ad	1
5836	297	236023	GSM1423987	GPL4372	GSE33000		ad	1
5836	297	236024	GSM1423988	GPL4372	GSE33000		ad	1
5836	297	236025	GSM1423989	GPL4372	GSE33000		ad	1
5836	297	236026	GSM1423990	GPL4372	GSE33000		ad	1
5836	297	236027	GSM1423991	GPL4372	GSE33000		ad	1
5836	297	236028	GSM1423992	GPL4372	GSE33000		ad	1
5836	297	236029	GSM1423993	GPL4372	GSE33000		ad	1
5836	297	236030	GSM1423994	GPL4372	GSE33000		ad	1
5836	297	236031	GSM1423995	GPL4372	GSE33000		ad	1
5836	297	236032	GSM1423996	GPL4372	GSE33000		ad	1
5836	297	236033	GSM1423997	GPL4372	GSE33000		ad	1
5836	297	236034	GSM1423998	GPL4372	GSE33000		ad	1
5836	297	236035	GSM1423999	GPL4372	GSE33000		ad	1
5836	297	236036	GSM1424000	GPL4372	GSE33000		ad	1
5836	297	236037	GSM1424001	GPL4372	GSE33000		ad	1
5836	297	236038	GSM1424002	GPL4372	GSE33000		ad	1
5836	297	236039	GSM1424003	GPL4372	GSE33000		ad	1
5836	297	236040	GSM1424004	GPL4372	GSE33000		ad	1
5836	297	236041	GSM1424005	GPL4372	GSE33000		ad	1
5836	297	236042	GSM1424006	GPL4372	GSE33000		ad	1
5836	297	236043	GSM1424007	GPL4372	GSE33000		ad	1
5836	297	236044	GSM1424008	GPL4372	GSE33000		ad	1
5836	297	236045	GSM1424009	GPL4372	GSE33000		ad	1
5836	297	236046	GSM1424010	GPL4372	GSE33000		ad	1
5836	297	236047	GSM1424011	GPL4372	GSE33000		ad	1
5836	297	236048	GSM1424012	GPL4372	GSE33000		ad	1
5836	297	236049	GSM1424013	GPL4372	GSE33000		ad	1
5836	297	236050	GSM1424014	GPL4372	GSE33000		ad	1
5836	297	236051	GSM1424015	GPL4372	GSE33000		ad	1
5836	297	236052	GSM1424016	GPL4372	GSE33000		ad	1
5836	297	236053	GSM1424017	GPL4372	GSE33000		ad	1
5836	297	236054	GSM1424018	GPL4372	GSE33000		ad	1
5836	297	236055	GSM1424019	GPL4372	GSE33000		ad	1
5836	297	236056	GSM1424020	GPL4372	GSE33000		ad	1
