series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	celiac_control	celiac	sample_class
397	3	16169	GSM289506	GPL6104	GSE11501		celiac	1
397	3	16170	GSM289507	GPL6104	GSE11501		celiac	1
397	3	16171	GSM289508	GPL6104	GSE11501		celiac	1
397	3	16172	GSM289509	GPL6104	GSE11501		celiac	1
397	3	16173	GSM289510	GPL6104	GSE11501		celiac	1
397	3	16174	GSM289511	GPL6104	GSE11501		celiac	1
397	3	16175	GSM289512	GPL6104	GSE11501		celiac	1
397	3	16176	GSM289513	GPL6104	GSE11501		celiac	1
397	3	16177	GSM289514	GPL6104	GSE11501		celiac	1
397	3	16178	GSM289515	GPL6104	GSE11501		celiac	1
397	3	16179	GSM289516	GPL6104	GSE11501		celiac	1
397	3	16180	GSM289517	GPL6104	GSE11501		celiac	1
397	3	16181	GSM289518	GPL6104	GSE11501		celiac	1
397	3	16182	GSM289519	GPL6104	GSE11501		celiac	1
397	3	16183	GSM289520	GPL6104	GSE11501		celiac	1
397	3	16184	GSM289521	GPL6104	GSE11501		celiac	1
397	3	16185	GSM289522	GPL6104	GSE11501		celiac	1
397	3	16186	GSM289523	GPL6104	GSE11501		celiac	1
397	3	16187	GSM289524	GPL6104	GSE11501		celiac	1
397	3	16188	GSM289525	GPL6104	GSE11501		celiac	1
397	3	16189	GSM289526	GPL6104	GSE11501		celiac	1
397	3	16190	GSM289527	GPL6104	GSE11501		celiac	1
397	3	16191	GSM289528	GPL6104	GSE11501		celiac	1
397	3	16192	GSM289529	GPL6104	GSE11501		celiac	1
397	3	16193	GSM289530	GPL6104	GSE11501		celiac	1
397	3	16194	GSM289531	GPL6104	GSE11501		celiac	1
397	3	16195	GSM289532	GPL6104	GSE11501		celiac	1
397	3	16196	GSM289533	GPL6104	GSE11501		celiac	1
397	3	16197	GSM289534	GPL6104	GSE11501		celiac	1
397	3	16198	GSM289535	GPL6104	GSE11501		celiac	1
397	3	16199	GSM289536	GPL6104	GSE11501		celiac	1
397	3	16200	GSM289537	GPL6104	GSE11501		celiac	1
397	3	16201	GSM289538	GPL6104	GSE11501		celiac	1
397	3	16202	GSM289539	GPL6104	GSE11501		celiac	1
397	3	16203	GSM289540	GPL6104	GSE11501		celiac	1
397	3	16204	GSM289541	GPL6104	GSE11501		celiac	1
397	3	16205	GSM289542	GPL6104	GSE11501		celiac	1
