series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	sle	sle_control	sample_class
488	50	21386	GSM300927	GPL97	GSE11907	sle		1
488	50	21387	GSM300929	GPL97	GSE11907	sle		1
488	50	21388	GSM300933	GPL97	GSE11907	sle		1
488	50	21389	GSM300935	GPL97	GSE11907	sle		1
488	50	21390	GSM300937	GPL97	GSE11907	sle		1
488	50	21391	GSM300942	GPL97	GSE11907	sle		1
488	50	21392	GSM300954	GPL97	GSE11907	sle		1
488	50	21393	GSM300956	GPL97	GSE11907	sle		1
488	50	21394	GSM300958	GPL97	GSE11907	sle		1
488	50	21395	GSM300962	GPL97	GSE11907	sle		1
488	50	21396	GSM300966	GPL97	GSE11907	sle		1
488	50	21397	GSM300969	GPL97	GSE11907	sle		1
488	50	21398	GSM300977	GPL97	GSE11907	sle		1
488	50	21399	GSM300981	GPL97	GSE11907	sle		1
488	50	21400	GSM300985	GPL97	GSE11907	sle		1
488	50	21401	GSM300987	GPL97	GSE11907	sle		1
488	50	21402	GSM300989	GPL97	GSE11907	sle		1
488	50	21403	GSM300992	GPL97	GSE11907	sle		1
488	50	21404	GSM300998	GPL97	GSE11907	sle		1
488	50	21405	GSM301000	GPL97	GSE11907	sle		1
488	50	21406	GSM301002	GPL97	GSE11907	sle		1
488	50	21407	GSM301004	GPL97	GSE11907	sle		1
488	50	21408	GSM301006	GPL97	GSE11907	sle		1
488	50	21409	GSM301008	GPL97	GSE11907	sle		1
488	50	21410	GSM301010	GPL97	GSE11907	sle		1
488	50	21411	GSM301014	GPL97	GSE11907	sle		1
488	50	21412	GSM301016	GPL97	GSE11907	sle		1
488	50	21413	GSM301018	GPL97	GSE11907	sle		1
488	50	21414	GSM301020	GPL97	GSE11907	sle		1
488	50	21415	GSM301022	GPL97	GSE11907	sle		1
488	50	21416	GSM301024	GPL97	GSE11907	sle		1
488	50	21417	GSM301026	GPL97	GSE11907	sle		1
488	50	21418	GSM301028	GPL97	GSE11907	sle		1
488	50	21419	GSM301030	GPL97	GSE11907	sle		1
488	50	21420	GSM301032	GPL97	GSE11907	sle		1
488	50	21421	GSM301034	GPL97	GSE11907	sle		1
488	50	21422	GSM301039	GPL97	GSE11907	sle		1
488	50	21423	GSM301042	GPL97	GSE11907	sle		1
488	50	21424	GSM301046	GPL97	GSE11907	sle		1
488	50	21425	GSM301048	GPL97	GSE11907	sle		1
488	50	21426	GSM301050	GPL97	GSE11907	sle		1
488	50	21427	GSM301052	GPL97	GSE11907	sle		1
488	50	21428	GSM301054	GPL97	GSE11907	sle		1
488	50	21429	GSM301056	GPL97	GSE11907	sle		1
488	50	21430	GSM301059	GPL97	GSE11907	sle		1
488	50	21431	GSM301063	GPL97	GSE11907	sle		1
488	50	21432	GSM301065	GPL97	GSE11907	sle		1
488	50	21433	GSM301067	GPL97	GSE11907	sle		1
488	50	21434	GSM301069	GPL97	GSE11907	sle		1
488	50	21534	GSM301955	GPL97	GSE11907		sle_control	0
488	50	21535	GSM301957	GPL97	GSE11907		sle_control	0
488	50	21536	GSM301959	GPL97	GSE11907		sle_control	0
488	50	21537	GSM301961	GPL97	GSE11907		sle_control	0
488	50	21538	GSM301963	GPL97	GSE11907		sle_control	0
488	50	21539	GSM301965	GPL97	GSE11907		sle_control	0
488	50	21540	GSM301967	GPL97	GSE11907		sle_control	0
488	50	21622	GSM302144	GPL97	GSE11907	sle		1
618	51	25839	GSM310454	GPL1291	GSE12374	sle		1
618	51	25840	GSM310456	GPL1291	GSE12374	sle		1
618	51	25841	GSM310457	GPL1291	GSE12374	sle		1
618	51	25842	GSM310458	GPL1291	GSE12374	sle		1
618	51	25843	GSM310493	GPL1291	GSE12374	sle		1
618	51	25844	GSM310498	GPL1291	GSE12374	sle		1
618	51	25845	GSM310505	GPL1291	GSE12374	sle		1
618	51	25846	GSM310592	GPL1291	GSE12374	sle		1
618	51	25847	GSM310593	GPL1291	GSE12374	sle		1
618	51	25848	GSM310594	GPL1291	GSE12374	sle		1
618	51	25849	GSM310595	GPL1291	GSE12374	sle		1
618	51	25850	GSM310596	GPL1291	GSE12374		sle_control	0
618	51	25851	GSM310597	GPL1291	GSE12374		sle_control	0
618	51	25852	GSM310598	GPL1291	GSE12374		sle_control	0
618	51	25853	GSM310599	GPL1291	GSE12374		sle_control	0
618	51	25854	GSM310607	GPL1291	GSE12374		sle_control	0
618	51	25855	GSM310608	GPL1291	GSE12374		sle_control	0
2014	51	84866	GSM443350	GPL1291	GSE17755	sle		1
2014	51	84867	GSM443351	GPL1291	GSE17755	sle		1
2014	51	84868	GSM443352	GPL1291	GSE17755	sle		1
2014	51	84869	GSM443353	GPL1291	GSE17755	sle		1
2014	51	84870	GSM443354	GPL1291	GSE17755	sle		1
2014	51	84871	GSM443355	GPL1291	GSE17755	sle		1
2014	51	84872	GSM443356	GPL1291	GSE17755	sle		1
2014	51	84873	GSM443357	GPL1291	GSE17755	sle		1
2014	51	84874	GSM443358	GPL1291	GSE17755	sle		1
2014	51	84875	GSM443359	GPL1291	GSE17755	sle		1
2014	51	84876	GSM443360	GPL1291	GSE17755	sle		1
2014	51	84877	GSM443361	GPL1291	GSE17755	sle		1
2014	51	84935	GSM443419	GPL1291	GSE17755		sle_control	0
2014	51	84936	GSM443420	GPL1291	GSE17755		sle_control	0
2014	51	84937	GSM443421	GPL1291	GSE17755		sle_control	0
2014	51	84938	GSM443422	GPL1291	GSE17755		sle_control	0
2014	51	84939	GSM443423	GPL1291	GSE17755		sle_control	0
2014	51	84940	GSM443424	GPL1291	GSE17755		sle_control	0
2014	51	84941	GSM443425	GPL1291	GSE17755		sle_control	0
2014	51	84942	GSM443426	GPL1291	GSE17755		sle_control	0
2014	51	84943	GSM443427	GPL1291	GSE17755		sle_control	0
2014	51	84944	GSM443428	GPL1291	GSE17755		sle_control	0
2014	51	84945	GSM443429	GPL1291	GSE17755		sle_control	0
2014	51	84946	GSM443430	GPL1291	GSE17755		sle_control	0
2014	51	84947	GSM443431	GPL1291	GSE17755		sle_control	0
2014	51	84948	GSM443432	GPL1291	GSE17755		sle_control	0
2014	51	84949	GSM443433	GPL1291	GSE17755		sle_control	0
2014	51	84950	GSM443434	GPL1291	GSE17755		sle_control	0
2014	51	84951	GSM443435	GPL1291	GSE17755		sle_control	0
2014	51	84952	GSM443436	GPL1291	GSE17755		sle_control	0
2014	51	84953	GSM443437	GPL1291	GSE17755		sle_control	0
2014	51	84954	GSM443438	GPL1291	GSE17755		sle_control	0
2014	51	84955	GSM443439	GPL1291	GSE17755		sle_control	0
2014	51	84956	GSM443440	GPL1291	GSE17755		sle_control	0
2014	51	84957	GSM443441	GPL1291	GSE17755		sle_control	0
2014	51	84958	GSM443442	GPL1291	GSE17755		sle_control	0
2014	51	84959	GSM443443	GPL1291	GSE17755		sle_control	0
2014	51	84960	GSM443444	GPL1291	GSE17755		sle_control	0
2014	51	84961	GSM443445	GPL1291	GSE17755		sle_control	0
2014	51	84962	GSM443446	GPL1291	GSE17755		sle_control	0
2014	51	84963	GSM443447	GPL1291	GSE17755		sle_control	0
2014	51	84964	GSM443448	GPL1291	GSE17755		sle_control	0
2014	51	84965	GSM443449	GPL1291	GSE17755		sle_control	0
2014	51	84966	GSM443450	GPL1291	GSE17755		sle_control	0
2014	51	84967	GSM443451	GPL1291	GSE17755		sle_control	0
2014	51	84968	GSM443452	GPL1291	GSE17755		sle_control	0
2014	51	84969	GSM443453	GPL1291	GSE17755		sle_control	0
2014	51	84970	GSM443454	GPL1291	GSE17755		sle_control	0
2014	51	84971	GSM443455	GPL1291	GSE17755		sle_control	0
2014	51	84972	GSM443456	GPL1291	GSE17755		sle_control	0
2014	51	84973	GSM443457	GPL1291	GSE17755		sle_control	0
2014	51	84974	GSM443458	GPL1291	GSE17755		sle_control	0
2014	51	84975	GSM443459	GPL1291	GSE17755		sle_control	0
2014	51	84976	GSM443460	GPL1291	GSE17755		sle_control	0
2014	51	84977	GSM443461	GPL1291	GSE17755		sle_control	0
2014	51	84978	GSM443462	GPL1291	GSE17755		sle_control	0
2014	51	84979	GSM443463	GPL1291	GSE17755		sle_control	0
2014	51	84980	GSM443464	GPL1291	GSE17755		sle_control	0
2014	51	84981	GSM443465	GPL1291	GSE17755		sle_control	0
2014	51	84982	GSM443466	GPL1291	GSE17755		sle_control	0
2014	51	84983	GSM443467	GPL1291	GSE17755		sle_control	0
2014	51	84984	GSM443468	GPL1291	GSE17755		sle_control	0
2014	51	84985	GSM443469	GPL1291	GSE17755		sle_control	0
2014	51	84986	GSM443470	GPL1291	GSE17755		sle_control	0
2014	51	84987	GSM443471	GPL1291	GSE17755		sle_control	0
2014	51	84988	GSM521769	GPL1291	GSE17755	sle		1
2014	51	84989	GSM521770	GPL1291	GSE17755	sle		1
2014	51	84990	GSM521771	GPL1291	GSE17755	sle		1
